Playlist Name,URI,Mood,Creator
Canciones Sad,spotify:playlist:37i9dQZF1DX1PiujNwN5Yy,sad,Spotify
Alone Again,spotify:playlist:37i9dQZF1DWX83CujKHHOn,sad,Spotify
All the Feels,spotify:playlist:37i9dQZF1DX7gIoKXt0gmx,sad,Spotify
Devastating,spotify:playlist:37i9dQZF1DX33TfGBYPkRQ,sad,Spotify
Chill Hits,spotify:playlist:37i9dQZF1DX4WYpdgoIcn6,calm,Spotify
Lo-Fi Beats,spotify:playlist:37i9dQZF1DWWQRwui0ExPn,calm,Spotify
Stress Relief,spotify:playlist:37i9dQZF1DWXe9gFZP0gtP,calm,Spotify
Calm Vibes,spotify:playlist:37i9dQZF1DX1s9knjP51Oa,calm,Spotify
Power Workout,spotify:playlist:37i9dQZF1DWUVpAXiEPK8P,energetic,Spotify
Locked In,spotify:playlist:37i9dQZF1DWTl4y3vgJOXW,energetic,Spotify
Workout,spotify:playlist:37i9dQZF1DX70RN3TfWWJh,energetic,Spotify
Hype,spotify:playlist:37i9dQZF1DX4eRPd9frC1m,energetic,Spotify
Have a Great Day,spotify:playlist:37i9dQZF1DX7KNKjOK0o75,happy,Spotify
Feelin' Good,spotify:playlist:37i9dQZF1DX9XIFQuFvzM4,happy,Spotify
Mood Booster,spotify:playlist:37i9dQZF1DX3rxVfibe1L0,happy,Spotify
Have a Great Day,spotify:playlist:37i9dQZF1DX7KNKjOK0o75,happy,Spotify
